A,W,MT,ID
80,8,1355,3
80,8,1085,3
80,8,1311,3
80,8,1204,3
80,8,1134,3
50,12,1168,2
50,12,964,2
50,12,960,2
50,12,884,2
50,12,1212,2
20,4,2346,3
20,4,1448,3
20,4,1034,3
20,4,1711,3
20,4,1582,3
20,8,1413,2
20,8,656,2
20,8,1547,2
20,8,761,2
20,8,1470,2
50,4,1533,4
50,4,1975,4
50,4,2131,4
50,4,1647,4
50,4,2580,4
80,4,2025,4
80,4,1959,4
80,4,2859,4
80,4,1975,4
80,4,1497,4
50,8,1078,3
50,8,1218,3
50,8,1483,3
50,8,1512,3
50,8,1551,3
80,12,1097,3
80,12,1084,3
80,12,933,3
80,12,1198,3
80,12,1090,3
20,12,813,1
20,12,684,1
20,12,656,1
20,12,891,1
20,12,649,1
