A,W,MT,ID
80,8,1748,3
80,8,1659,3
80,8,1283,3
80,8,1318,3
80,8,1411,3
20,8,1483,2
20,8,1851,2
20,8,1777,2
20,8,1403,2
20,8,1284,2
50,12,1147,2
50,12,834,2
50,12,1369,2
50,12,1127,2
50,12,1226,2
50,4,2160,4
50,4,1604,4
50,4,1810,4
50,4,2018,4
50,4,2580,4
50,8,2188,3
50,8,1020,3
50,8,1447,3
50,8,1268,3
50,8,856,3
80,4,2337,4
80,4,1577,4
80,4,2637,4
80,4,1796,4
80,4,2488,4
20,12,1612,1
20,12,969,1
20,12,1191,1
20,12,1376,1
20,12,1296,1
80,12,2053,3
80,12,0,3
80,12,1648,3
80,12,1909,3
80,12,1284,3
20,4,2488,3
20,4,1903,3
20,4,1910,3
20,4,1504,3
20,4,3015,3
