A,W,MT,ID
50,8,585,3
50,8,517,3
50,8,467,3
50,8,650,3
50,8,568,3
20,12,467,1
20,12,450,1
20,12,483,1
20,12,468,1
20,12,467,1
80,8,618,3
80,8,416,3
80,8,549,3
80,8,485,3
80,8,517,3
50,4,535,4
50,4,683,4
50,4,466,4
50,4,500,4
50,4,517,4
50,12,432,2
50,12,398,2
50,12,391,2
50,12,379,2
50,12,331,2
20,4,502,3
20,4,500,3
20,4,450,3
20,4,0,3
20,4,617,3
80,4,434,4
80,4,403,4
80,4,501,4
80,4,518,4
80,4,568,4
80,12,434,3
80,12,385,3
80,12,399,3
80,12,434,3
80,12,452,3
20,8,469,2
20,8,0,2
20,8,601,2
20,8,518,2
20,8,551,2
