Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-18-11:00:25,0.75,0.32,0.07,0.94,0.02,0.12,0.67,0.47,0.49,1,0.72,2.47650639113892
2024-01-18-11:00:27,0.9,0.32,0.77,0.94,0.73,0.14,0.75,0.83,0.33,0.32,0.02,1.26975869104674
2024-01-18-11:00:28,0.41,0.22,0.03,0.55,0.37,0.8,0.08,0,0,0.69,0.35,1.92478866271428
2024-01-18-11:00:29,0.38,0.9,0.24,0.34,0.63,0.81,0.42,0.46,0.88,0.17,0.89,-0.142488466293464
2024-01-18-11:00:30,0.51,0.97,0.18,0.66,0.64,0.88,0.37,0.11,0.32,0.94,0.17,1.65256560716395
2024-01-18-11:00:32,0.25,0.36,0.07,0.57,0.91,0.93,0.17,0.55,0.35,0.06,0.7,0.968502313139009
2024-01-18-11:00:33,0.61,0.42,0.88,0.11,0.64,0.41,0.86,0.18,0.62,0.53,0.68,1.03829262398449
2024-01-18-11:00:34,0.89,0.53,0.53,0.84,0.59,0.07,0.04,0.75,0.85,0.56,0.46,0.461746233408519
2024-01-18-11:00:35,0.34,0.25,0.8,0.66,0.63,0.81,0.81,0.24,0.39,0.95,0.03,0.960359341012448
2024-01-18-11:00:36,0.21,0.52,0.59,0.4,0.6,0.93,0.02,0.84,0.84,0.08,0.95,-0.186827776022208
2024-01-18-11:00:37,0.29,0.85,0.37,0.48,0.85,0.52,0.93,0.43,0.56,0.5,0.07,0.401863847894124
2024-01-18-11:00:38,0.27,0.45,0.82,0.95,0.32,0.59,0.28,0.57,0.54,0.03,0.66,0.942482282824839
2024-01-18-11:00:40,0.96,0.43,0.92,0.01,0.9,0.26,0.15,0.84,0.57,0.55,0.16,-0.518311017815885
2024-01-18-11:00:42,0.13,0.92,0.56,0.27,0.31,0.7,0.76,0.79,0.81,0.66,0.51,-0.364853902838988
2024-01-18-11:00:45,0.24,0.62,0.62,0.63,0.67,0.15,0.14,0.05,0.17,1,0.14,1.3848779053642
2024-01-18-11:00:46,0.09,0.16,0.86,0.05,0.51,0.66,0.48,0.89,0.66,0.44,0.11,-0.240824502625257
